game_id,date,league_name,series_name,tournament_name
30072,2024-01-03 09:08:32.430000,Demacia Cup,Demacia Cup 2023,Playoffs
30073,2024-01-03 09:54:00.478000,Demacia Cup,Demacia Cup 2023,Playoffs
30074,2024-01-03 10:35:15.933000,Demacia Cup,Demacia Cup 2023,Playoffs
30078,2024-01-06 09:16:15.868000,Demacia Cup,Demacia Cup 2023,Playoffs
30079,2024-01-06 10:06:55.895000,Demacia Cup,Demacia Cup 2023,Playoffs
30080,2024-01-06 10:49:28.062000,Demacia Cup,Demacia Cup 2023,Playoffs
30007,2024-01-13 16:05:40.125000,LEC,LEC Winter 2024,Regular Season
30014,2024-01-14 18:49:28.371868,LEC,LEC Winter 2024,Regular Season
30020,2024-01-15 17:01:29.311913,LEC,LEC Winter 2024,Regular Season
30335,2024-01-17 11:00:30.480829,LCK,LCK Spring 2024,Regular Season
30336,2024-01-17 11:51:39.799801,LCK,LCK Spring 2024,Regular Season
30337,2024-01-17 12:45:09.682070,LCK,LCK Spring 2024,Regular Season
30338,2024-01-18 08:07:29.326000,LCK,LCK Spring 2024,Regular Season
30339,2024-01-18 09:04:30.190000,LCK,LCK Spring 2024,Regular Season
30340,2024-01-18 10:52:48.905524,LCK,LCK Spring 2024,Regular Season
30341,2024-01-18 11:48:42.070372,LCK,LCK Spring 2024,Regular Season
30344,2024-01-19 10:44:53.927000,LCK,LCK Spring 2024,Regular Season
30345,2024-01-19 11:32:38.779400,LCK,LCK Spring 2024,Regular Season
30348,2024-01-20 08:32:12.270216,LCK,LCK Spring 2024,Regular Season
30349,2024-01-20 09:18:43.776660,LCK,LCK Spring 2024,Regular Season
30999,2024-01-20 18:01:31.526382,LEC,LEC Winter 2024,Regular Season
30352,2024-01-21 08:43:04.938988,LCK,LCK Spring 2024,Regular Season
30353,2024-01-21 09:30:20.970543,LCK,LCK Spring 2024,Regular Season
30354,2024-01-21 10:40:57.205659,LCK,LCK Spring 2024,Regular Season
31010,2024-01-21 17:52:38.309208,LEC,LEC Winter 2024,Regular Season
